"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
RTSTR;RTS Total Return Index;2017-06-16;1416.83;1416.83;1416.83;1416.83;0;;
RTSTR;RTS Total Return Index;2017-06-19;1424.84;1424.84;1424.84;1424.84;0;;
RTSTR;RTS Total Return Index;2017-06-20;1400.13;1400.13;1400.13;1400.13;0;;
RTSTR;RTS Total Return Index;2017-06-21;1389.14;1389.14;1389.14;1389.14;0;;
RTSTR;RTS Total Return Index;2017-06-22;1400.87;1400.87;1400.87;1400.87;0;;
RTSTR;RTS Total Return Index;2017-06-23;1415.88;1415.88;1415.88;1415.88;0;;
RTSTR;RTS Total Return Index;2017-06-26;1421.47;1421.47;1421.47;1421.47;0;;
RTSTR;RTS Total Return Index;2017-06-27;1437.15;1437.15;1437.15;1437.15;0;;
RTSTR;RTS Total Return Index;2017-06-28;1435.78;1435.78;1435.78;1435.78;0;;
RTSTR;RTS Total Return Index;2017-06-29;1432.37;1432.37;1432.37;1432.37;0;;
RTSTR;RTS Total Return Index;2017-06-30;1434.25;1434.25;1434.25;1434.25;0;;
RTSTR;RTS Total Return Index;2017-07-03;1446.58;1446.58;1446.58;1446.58;0;;
RTSTR;RTS Total Return Index;2017-07-04;1458.28;1458.28;1458.28;1458.28;0;;
RTSTR;RTS Total Return Index;2017-07-05;1444.37;1444.37;1444.37;1444.37;0;;
RTSTR;RTS Total Return Index;2017-07-06;1461.47;1461.47;1461.47;1461.47;0;;
RTSTR;RTS Total Return Index;2017-07-07;1440.66;1440.66;1440.66;1440.66;0;;
RTSTR;RTS Total Return Index;2017-07-10;1457.03;1457.03;1457.03;1457.03;0;;
RTSTR;RTS Total Return Index;2017-07-11;1450.32;1450.32;1450.32;1450.32;0;;
RTSTR;RTS Total Return Index;2017-07-12;1485.79;1485.79;1485.79;1485.79;0;;
RTSTR;RTS Total Return Index;2017-07-13;1493.19;1493.19;1493.19;1493.19;0;;
RTSTR;RTS Total Return Index;2017-07-14;1514.32;1514.32;1514.32;1514.32;0;;
RTSTR;RTS Total Return Index;2017-07-17;1507.17;1507.17;1507.17;1507.17;0;;
RTSTR;RTS Total Return Index;2017-07-18;1508.05;1508.05;1508.05;1508.05;0;;
RTSTR;RTS Total Return Index;2017-07-19;1533.25;1533.25;1533.25;1533.25;0;;
RTSTR;RTS Total Return Index;2017-07-20;1526.5;1526.5;1526.5;1526.5;0;;
RTSTR;RTS Total Return Index;2017-07-21;1506.44;1506.44;1506.44;1506.44;0;;
RTSTR;RTS Total Return Index;2017-07-24;1489.98;1489.98;1489.98;1489.98;0;;
RTSTR;RTS Total Return Index;2017-07-25;1484.64;1484.64;1484.64;1484.64;0;;
RTSTR;RTS Total Return Index;2017-07-26;1500.14;1500.14;1500.14;1500.14;0;;
RTSTR;RTS Total Return Index;2017-07-27;1515.35;1515.35;1515.35;1515.35;0;;
RTSTR;RTS Total Return Index;2017-07-28;1491.08;1491.08;1491.08;1491.08;0;;
RTSTR;RTS Total Return Index;2017-07-31;1480.35;1480.35;1480.35;1480.35;0;;
RTSTR;RTS Total Return Index;2017-08-01;1491.25;1491.25;1491.25;1491.25;0;;
RTSTR;RTS Total Return Index;2017-08-02;1501.81;1501.81;1501.81;1501.81;0;;
RTSTR;RTS Total Return Index;2017-08-03;1513.56;1513.56;1513.56;1513.56;0;;
RTSTR;RTS Total Return Index;2017-08-04;1509.62;1509.62;1509.62;1509.62;0;;
RTSTR;RTS Total Return Index;2017-08-07;1518.37;1518.37;1518.37;1518.37;0;;
RTSTR;RTS Total Return Index;2017-08-08;1541.91;1541.91;1541.91;1541.91;0;;
RTSTR;RTS Total Return Index;2017-08-09;1521.75;1521.75;1521.75;1521.75;0;;
RTSTR;RTS Total Return Index;2017-08-10;1513.34;1513.34;1513.34;1513.34;0;;
RTSTR;RTS Total Return Index;2017-08-11;1503.27;1503.27;1503.27;1503.27;0;;
RTSTR;RTS Total Return Index;2017-08-14;1516.09;1516.09;1516.09;1516.09;0;;
RTSTR;RTS Total Return Index;2017-08-15;1510.68;1510.68;1510.68;1510.68;0;;
RTSTR;RTS Total Return Index;2017-08-16;1514.07;1514.07;1514.07;1514.07;0;;
RTSTR;RTS Total Return Index;2017-08-17;1520.38;1520.38;1520.38;1520.38;0;;
RTSTR;RTS Total Return Index;2017-08-18;1511.27;1511.27;1511.27;1511.27;0;;
RTSTR;RTS Total Return Index;2017-08-21;1520.73;1520.73;1520.73;1520.73;0;;
RTSTR;RTS Total Return Index;2017-08-22;1528.31;1528.31;1528.31;1528.31;438917214.1;;
RTSTR;RTS Total Return Index;2017-08-23;1536.42;1536.42;1536.42;1536.42;485419936.93;;
RTSTR;RTS Total Return Index;2017-08-24;1543.77;1543.77;1543.77;1543.77;491862775.28;;
RTSTR;RTS Total Return Index;2017-08-25;1559.26;1559.26;1559.26;1559.26;530844618.55;;
RTSTR;RTS Total Return Index;2017-08-28;1571.4;1571.4;1571.4;1571.4;346589128.49;;
RTSTR;RTS Total Return Index;2017-08-29;1569.68;1569.68;1569.68;1569.68;518984096.17;;
RTSTR;RTS Total Return Index;2017-08-30;1594.43;1594.43;1594.43;1594.43;657826577.39;;
RTSTR;RTS Total Return Index;2017-08-31;1611.23;1611.23;1611.23;1611.23;830296654.17;;
RTSTR;RTS Total Return Index;2017-09-01;1618.2;1618.2;1618.2;1618.2;534685381.67;;
RTSTR;RTS Total Return Index;2017-09-04;1605.34;1605.34;1605.34;1605.34;367221074.19;;
RTSTR;RTS Total Return Index;2017-09-05;1618.57;1618.57;1618.57;1618.57;535973310.72;;
RTSTR;RTS Total Return Index;2017-09-06;1627.2;1627.2;1627.2;1627.2;573181757.4;;
RTSTR;RTS Total Return Index;2017-09-07;1633.35;1633.35;1633.35;1633.35;554878936.48;;
RTSTR;RTS Total Return Index;2017-09-08;1646.41;1646.41;1646.41;1646.41;668901215.89;;
RTSTR;RTS Total Return Index;2017-09-11;1656.9;1656.9;1656.9;1656.9;635466405.72;;
RTSTR;RTS Total Return Index;2017-09-12;1653.2;1653.2;1653.2;1653.2;542352999.1;;
RTSTR;RTS Total Return Index;2017-09-13;1644.67;1644.67;1644.67;1644.67;656919765.44;;
RTSTR;RTS Total Return Index;2017-09-14;1656.62;1656.62;1656.62;1656.62;549680901.08;;
RTSTR;RTS Total Return Index;2017-09-15;1653.29;1653.29;1653.29;1653.29;632616045.88;;
RTSTR;RTS Total Return Index;2017-09-18;1647.31;1647.31;1647.31;1647.31;479499102.83;;
RTSTR;RTS Total Return Index;2017-09-19;1631.96;1631.96;1631.96;1631.96;497201292.51;;
RTSTR;RTS Total Return Index;2017-09-20;1652.15;1652.15;1652.15;1652.15;612958938.53;;
RTSTR;RTS Total Return Index;2017-09-21;1648.77;1648.77;1648.77;1648.77;570532392.89;;
RTSTR;RTS Total Return Index;2017-09-22;1653.46;1653.46;1653.46;1653.46;568879644.78;;
RTSTR;RTS Total Return Index;2017-09-25;1664.99;1664.99;1664.99;1664.99;625000428.1;;
RTSTR;RTS Total Return Index;2017-09-26;1660.16;1660.16;1660.16;1660.16;703977639.86;;
RTSTR;RTS Total Return Index;2017-09-27;1659.69;1659.69;1659.69;1659.69;509916292.12;;
RTSTR;RTS Total Return Index;2017-09-28;1658.22;1658.22;1658.22;1658.22;440540821.62;;
RTSTR;RTS Total Return Index;2017-09-29;1674.71;1674.71;1674.71;1674.71;449575288.66;;
RTSTR;RTS Total Return Index;2017-10-02;1662.83;1662.83;1662.83;1662.83;410488023.26;;
RTSTR;RTS Total Return Index;2017-10-03;1664.62;1664.62;1664.62;1664.62;505528110.59;;
RTSTR;RTS Total Return Index;2017-10-04;1675.28;1675.28;1675.28;1675.28;392969154.16;;
RTSTR;RTS Total Return Index;2017-10-05;1685.46;1685.46;1685.46;1685.46;542510513.63;;
RTSTR;RTS Total Return Index;2017-10-06;1671.1;1671.1;1671.1;1671.1;507622023.15;;
RTSTR;RTS Total Return Index;2017-10-09;1670.35;1670.35;1670.35;1670.35;374420910.31;;
RTSTR;RTS Total Return Index;2017-10-10;1673.91;1673.91;1673.91;1673.91;359940710.19;;
RTSTR;RTS Total Return Index;2017-10-11;1686.92;1686.92;1686.92;1686.92;587635090.09;;
RTSTR;RTS Total Return Index;2017-10-12;1689.75;1689.75;1689.75;1689.75;445938621.22;;
